Model,Accuracy,Precision,Recall,F1,ROC_AUC,Best_Params
SVM (RBF),0.784,0.7995391705069125,0.38215859030837,0.5171385991058122,0.721653603827461,"{'model__C': 0.5, 'model__gamma': 'scale'}"
Decision Tree,0.8086666666666666,0.8150943396226416,0.47577092511013214,0.6008344923504868,0.713756938536569,"{'model__max_depth': 3, 'model__min_samples_leaf': 50}"
Random Forest,0.8093333333333333,0.8157894736842105,0.4779735682819383,0.6027777777777777,0.7131525804196392,"{'model__max_depth': 8, 'model__min_samples_leaf': 20, 'model__n_estimators': 100}"
Logistic Regression,0.7703333333333333,0.7417218543046358,0.3700440528634361,0.4937545922116091,0.7092453104337059,{'model__C': 10.0}
Gradient Boosting,0.8066666666666666,0.8048327137546468,0.47687224669603523,0.598893499308437,0.7024199594006115,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50}"
